effort,season,latitude,longitude,abundance
tows,apr-jun,-3,-73,0
tows,apr-jun,-5,-73,0
tows,apr-jun,-25,-73,0
tows,apr-jun,-26,-73,0
tows,apr-jun,-8,-74,0
tows,apr-jun,-9,-74,1
tows,apr-jun,-26,-74,0
tows,apr-jun,-3,-75,1
tows,apr-jun,-8,-75,0
tows,apr-jun,-9,-75,1
tows,apr-jun,-3,-77,0
tows,apr-jun,-2,-78,0
tows,apr-jun,-3,-78,0
tows,apr-jun,-11,-78,0
tows,apr-jun,3,-79,0
tows,apr-jun,2,-80,0
tows,apr-jun,-7,-80,0
tows,apr-jun,2,-81,0
tows,apr-jun,0,-81,0
tows,apr-jun,-1,-81,0
tows,apr-jun,5,-82,0
tows,apr-jun,5,-83,1
tows,apr-jun,2,-83,1
tows,apr-jun,1,-84,0
tows,apr-jun,1,-85,0
tows,apr-jun,-15,-86,0
tows,apr-jun,3,-87,0
tows,apr-jun,-12,-87,0
tows,apr-jun,-15,-87,0
tows,apr-jun,2,-88,0
tows,apr-jun,1,-88,1
tows,apr-jun,-1,-89,0
tows,apr-jun,-2,-89,0
tows,apr-jun,-4,-89,0
tows,apr-jun,-10,-89,0
tows,apr-jun,-11,-89,1
tows,apr-jun,-2,-90,0
tows,apr-jun,-10,-90,2
tows,apr-jun,-11,-90,2
tows,apr-jun,2,-91,0
tows,apr-jun,1,-91,0
tows,apr-jun,-8,-91,0
tows,apr-jun,-9,-91,0
tows,apr-jun,-10,-91,1
tows,apr-jun,-11,-91,1
tows,apr-jun,-12,-91,0
tows,apr-jun,4,-92,1
tows,apr-jun,-8,-92,0
tows,apr-jun,-9,-92,0
tows,apr-jun,-10,-92,2
tows,apr-jun,-13,-92,0
tows,apr-jun,-3,-93,0
tows,apr-jun,-9,-93,0
tows,apr-jun,-10,-93,0
tows,apr-jun,-11,-93,1
tows,apr-jun,-12,-93,1
tows,apr-jun,-7,-94,0
tows,apr-jun,-11,-94,3
tows,apr-jun,-4,-95,1
tows,apr-jun,-5,-95,0
tows,apr-jun,-8,-95,0
tows,apr-jun,-11,-95,0
tows,apr-jun,-12,-95,0
tows,apr-jun,-6,-96,0
tows,apr-jun,-9,-96,1
tows,apr-jun,-10,-96,0
tows,apr-jun,-12,-96,0
tows,apr-jun,-5,-97,1
tows,apr-jun,-6,-97,0
tows,apr-jun,-7,-97,0
tows,apr-jun,-8,-97,0
tows,apr-jun,-9,-97,1
tows,apr-jun,-10,-97,1
tows,apr-jun,-4,-98,1
tows,apr-jun,-5,-98,2
tows,apr-jun,-6,-98,1
tows,apr-jun,-7,-98,1
tows,apr-jun,-9,-98,1
tows,apr-jun,-10,-98,0
tows,apr-jun,-11,-98,0
tows,apr-jun,-12,-98,0
tows,apr-jun,4,-99,0
tows,apr-jun,-4,-99,1
tows,apr-jun,-5,-99,1
tows,apr-jun,-6,-99,1
tows,apr-jun,-7,-99,1
tows,apr-jun,-8,-99,2
tows,apr-jun,-9,-99,1
tows,apr-jun,-10,-99,1
tows,apr-jun,-11,-99,0
tows,apr-jun,-12,-99,1
tows,apr-jun,-6,-100,1
tows,apr-jun,-7,-100,1
tows,apr-jun,-8,-100,2
tows,apr-jun,-9,-100,2
tows,apr-jun,-10,-100,1
tows,apr-jun,-11,-100,0
tows,apr-jun,-12,-100,0
tows,apr-jun,-13,-100,0
tows,apr-jun,-6,-101,1
tows,apr-jun,-7,-101,1
tows,apr-jun,-8,-101,1
tows,apr-jun,-9,-101,3
tows,apr-jun,-10,-101,3
tows,apr-jun,-11,-101,2
tows,apr-jun,-6,-102,2
tows,apr-jun,-7,-102,1
tows,apr-jun,-8,-102,1
tows,apr-jun,-9,-102,2
tows,apr-jun,-10,-102,2
tows,apr-jun,-11,-102,2
tows,apr-jun,-6,-103,3
tows,apr-jun,-7,-103,1
tows,apr-jun,-8,-103,2
tows,apr-jun,-9,-103,3
tows,apr-jun,-10,-103,2
tows,apr-jun,-11,-103,2
tows,apr-jun,-7,-104,2
tows,apr-jun,-8,-104,1
tows,apr-jun,-9,-104,1
tows,apr-jun,-10,-104,1
tows,apr-jun,-11,-104,1
tows,apr-jun,-12,-104,1
tows,apr-jun,-13,-104,0
tows,apr-jun,-17,-104,0
tows,apr-jun,-20,-104,0
tows,apr-jun,2,-105,0
tows,apr-jun,-7,-105,2
tows,apr-jun,-8,-105,2
tows,apr-jun,-9,-105,1
tows,apr-jun,-10,-105,2
tows,apr-jun,-11,-105,1
tows,apr-jun,-13,-105,2
tows,apr-jun,-29,-105,1
tows,apr-jun,4,-106,0
tows,apr-jun,-5,-106,0
tows,apr-jun,-8,-106,2
tows,apr-jun,-9,-106,2
tows,apr-jun,-10,-106,1
tows,apr-jun,-11,-106,1
tows,apr-jun,-12,-106,1
tows,apr-jun,-29,-106,0
tows,apr-jun,6,-107,0
tows,apr-jun,5,-107,0
tows,apr-jun,-8,-107,1
tows,apr-jun,-9,-107,2
tows,apr-jun,-10,-107,2
tows,apr-jun,-11,-107,1
tows,apr-jun,-12,-107,1
tows,apr-jun,-13,-107,0
tows,apr-jun,6,-108,0
tows,apr-jun,3,-108,0
tows,apr-jun,-7,-108,0
tows,apr-jun,-9,-108,1
tows,apr-jun,-10,-108,1
tows,apr-jun,-11,-108,2
tows,apr-jun,-12,-108,1
tows,apr-jun,-13,-108,2
tows,apr-jun,-14,-108,0
tows,apr-jun,8,-109,0
tows,apr-jun,7,-109,0
tows,apr-jun,-9,-109,2
tows,apr-jun,-11,-109,2
tows,apr-jun,-12,-109,2
tows,apr-jun,-13,-109,3
tows,apr-jun,-14,-109,1
tows,apr-jun,8,-110,1
tows,apr-jun,7,-110,0
tows,apr-jun,-10,-110,1
tows,apr-jun,-11,-110,1
tows,apr-jun,-12,-110,2
tows,apr-jun,-13,-110,2
tows,apr-jun,-14,-110,1
tows,apr-jun,-15,-110,0
tows,apr-jun,11,-111,0
tows,apr-jun,-9,-111,1
tows,apr-jun,-10,-111,2
tows,apr-jun,-11,-111,2
tows,apr-jun,-12,-111,1
tows,apr-jun,-13,-111,2
tows,apr-jun,-14,-111,0
tows,apr-jun,11,-112,0
tows,apr-jun,10,-112,1
tows,apr-jun,-9,-112,3
tows,apr-jun,-10,-112,3
tows,apr-jun,-11,-112,2
tows,apr-jun,-12,-112,2
tows,apr-jun,-13,-112,3
tows,apr-jun,-14,-112,1
tows,apr-jun,-15,-112,0
tows,apr-jun,12,-113,0
tows,apr-jun,-7,-113,0
tows,apr-jun,-9,-113,4
tows,apr-jun,-10,-113,4
tows,apr-jun,-11,-113,3
tows,apr-jun,-12,-113,2
tows,apr-jun,-13,-113,3
tows,apr-jun,-14,-113,2
tows,apr-jun,-15,-113,1
tows,apr-jun,14,-114,1
tows,apr-jun,-9,-114,3
tows,apr-jun,-10,-114,4
tows,apr-jun,-11,-114,4
tows,apr-jun,-12,-114,1
tows,apr-jun,-13,-114,3
tows,apr-jun,-14,-114,3
tows,apr-jun,-15,-114,2
tows,apr-jun,-16,-114,1
tows,apr-jun,-19,-114,0
tows,apr-jun,15,-115,0
tows,apr-jun,13,-115,1
tows,apr-jun,-10,-115,4
tows,apr-jun,-11,-115,3
tows,apr-jun,-12,-115,3
tows,apr-jun,-13,-115,4
tows,apr-jun,-14,-115,3
tows,apr-jun,-15,-115,1
tows,apr-jun,-17,-115,1
tows,apr-jun,-19,-115,1
tows,apr-jun,-20,-115,1
tows,apr-jun,-10,-116,4
tows,apr-jun,-11,-116,3
tows,apr-jun,-12,-116,2
tows,apr-jun,-13,-116,4
tows,apr-jun,-14,-116,3
tows,apr-jun,-15,-116,2
tows,apr-jun,-16,-116,1
tows,apr-jun,-17,-116,2
tows,apr-jun,-20,-116,0
tows,apr-jun,16,-117,0
tows,apr-jun,15,-117,0
tows,apr-jun,-10,-117,4
tows,apr-jun,-11,-117,2
tows,apr-jun,-12,-117,2
tows,apr-jun,-13,-117,2
tows,apr-jun,-14,-117,3
tows,apr-jun,-15,-117,1
tows,apr-jun,-16,-117,2
tows,apr-jun,-17,-117,2
tows,apr-jun,-18,-117,0
tows,apr-jun,16,-118,0
tows,apr-jun,-10,-118,2
tows,apr-jun,-11,-118,3
tows,apr-jun,-12,-118,2
tows,apr-jun,-13,-118,2
tows,apr-jun,-14,-118,1
tows,apr-jun,-15,-118,0
tows,apr-jun,-16,-118,0
tows,apr-jun,-17,-118,1
tows,apr-jun,-18,-118,0
tows,apr-jun,20,-119,1
tows,apr-jun,18,-119,0
tows,apr-jun,-11,-119,2
tows,apr-jun,-12,-119,3
tows,apr-jun,-13,-119,2
tows,apr-jun,-14,-119,1
tows,apr-jun,-15,-119,0
tows,apr-jun,21,-120,1
tows,apr-jun,20,-120,1
tows,apr-jun,-10,-120,0
tows,apr-jun,-11,-120,1
tows,apr-jun,-12,-120,3
tows,apr-jun,-13,-120,3
tows,apr-jun,-14,-120,2
tows,apr-jun,-15,-120,1
tows,apr-jun,-16,-120,0
tows,apr-jun,-20,-120,0
tows,apr-jun,23,-121,0
tows,apr-jun,22,-121,1
tows,apr-jun,21,-121,1
tows,apr-jun,20,-121,1
tows,apr-jun,19,-121,0
tows,apr-jun,2,-121,0
tows,apr-jun,-12,-121,2
tows,apr-jun,-13,-121,2
tows,apr-jun,-14,-121,1
tows,apr-jun,-15,-121,0
tows,apr-jun,23,-122,1
tows,apr-jun,22,-122,1
tows,apr-jun,21,-122,1
tows,apr-jun,3,-122,0
tows,apr-jun,-11,-122,0
tows,apr-jun,-12,-122,0
tows,apr-jun,25,-123,1
tows,apr-jun,24,-123,2
tows,apr-jun,23,-123,1
tows,apr-jun,22,-123,2
tows,apr-jun,21,-123,1
tows,apr-jun,3,-123,0
tows,apr-jun,-9,-123,0
tows,apr-jun,-11,-123,1
tows,apr-jun,26,-124,2
tows,apr-jun,25,-124,2
tows,apr-jun,24,-124,2
tows,apr-jun,23,-124,2
tows,apr-jun,22,-124,2
tows,apr-jun,21,-124,1
tows,apr-jun,20,-124,0
tows,apr-jun,4,-124,0
tows,apr-jun,-11,-124,1
tows,apr-jun,27,-125,2
tows,apr-jun,26,-125,2
tows,apr-jun,25,-125,2
tows,apr-jun,24,-125,2
tows,apr-jun,23,-125,2
tows,apr-jun,22,-125,2
tows,apr-jun,21,-125,1
tows,apr-jun,10,-125,1
tows,apr-jun,5,-125,0
tows,apr-jun,4,-125,1
tows,apr-jun,-10,-125,3
tows,apr-jun,-11,-125,1
tows,apr-jun,28,-126,1
tows,apr-jun,27,-126,1
tows,apr-jun,26,-126,2
tows,apr-jun,25,-126,2
tows,apr-jun,24,-126,2
tows,apr-jun,23,-126,2
tows,apr-jun,22,-126,2
tows,apr-jun,21,-126,2
tows,apr-jun,18,-126,1
tows,apr-jun,17,-126,1
tows,apr-jun,11,-126,0
tows,apr-jun,10,-126,2
tows,apr-jun,7,-126,1
tows,apr-jun,6,-126,2
tows,apr-jun,5,-126,1
tows,apr-jun,-3,-126,0
tows,apr-jun,-9,-126,0
tows,apr-jun,-10,-126,1
tows,apr-jun,30,-127,1
tows,apr-jun,29,-127,1
tows,apr-jun,28,-127,1
tows,apr-jun,27,-127,2
tows,apr-jun,26,-127,1
tows,apr-jun,25,-127,2
tows,apr-jun,24,-127,2
tows,apr-jun,23,-127,2
tows,apr-jun,22,-127,2
tows,apr-jun,21,-127,3
tows,apr-jun,20,-127,2
tows,apr-jun,19,-127,2
tows,apr-jun,18,-127,1
tows,apr-jun,17,-127,2
tows,apr-jun,16,-127,1
tows,apr-jun,15,-127,1
tows,apr-jun,14,-127,1
tows,apr-jun,13,-127,1
tows,apr-jun,11,-127,1
tows,apr-jun,10,-127,2
tows,apr-jun,9,-127,2
tows,apr-jun,8,-127,2
tows,apr-jun,7,-127,2
tows,apr-jun,6,-127,1
tows,apr-jun,4,-127,0
tows,apr-jun,2,-127,0
tows,apr-jun,-1,-127,0
tows,apr-jun,-9,-127,1
tows,apr-jun,-10,-127,0
tows,apr-jun,30,-128,1
tows,apr-jun,29,-128,1
tows,apr-jun,28,-128,2
tows,apr-jun,27,-128,2
tows,apr-jun,26,-128,2
tows,apr-jun,25,-128,3
tows,apr-jun,24,-128,2
tows,apr-jun,23,-128,2
tows,apr-jun,22,-128,2
tows,apr-jun,21,-128,2
tows,apr-jun,20,-128,2
tows,apr-jun,19,-128,1
tows,apr-jun,18,-128,2
tows,apr-jun,17,-128,2
tows,apr-jun,16,-128,2
tows,apr-jun,15,-128,1
tows,apr-jun,14,-128,2
tows,apr-jun,13,-128,2
tows,apr-jun,12,-128,2
tows,apr-jun,11,-128,2
tows,apr-jun,10,-128,1
tows,apr-jun,9,-128,0
tows,apr-jun,8,-128,0
tows,apr-jun,7,-128,1
tows,apr-jun,5,-128,1
tows,apr-jun,-10,-128,0
tows,apr-jun,32,-129,1
tows,apr-jun,31,-129,1
tows,apr-jun,30,-129,2
tows,apr-jun,29,-129,1
tows,apr-jun,28,-129,2
tows,apr-jun,27,-129,2
tows,apr-jun,26,-129,2
tows,apr-jun,25,-129,2
tows,apr-jun,24,-129,2
tows,apr-jun,23,-129,2
tows,apr-jun,22,-129,2
tows,apr-jun,21,-129,2
tows,apr-jun,20,-129,1
tows,apr-jun,19,-129,1
tows,apr-jun,18,-129,1
tows,apr-jun,17,-129,1
tows,apr-jun,16,-129,2
tows,apr-jun,15,-129,2
tows,apr-jun,14,-129,2
tows,apr-jun,13,-129,1
tows,apr-jun,12,-129,2
tows,apr-jun,11,-129,2
tows,apr-jun,10,-129,1
tows,apr-jun,8,-129,0
tows,apr-jun,7,-129,1
tows,apr-jun,6,-129,0
tows,apr-jun,30,-130,2
tows,apr-jun,29,-130,2
tows,apr-jun,28,-130,2
tows,apr-jun,27,-130,2
tows,apr-jun,26,-130,1
tows,apr-jun,25,-130,2
tows,apr-jun,24,-130,2
tows,apr-jun,23,-130,2
tows,apr-jun,22,-130,2
tows,apr-jun,21,-130,3
tows,apr-jun,20,-130,2
tows,apr-jun,19,-130,2
tows,apr-jun,18,-130,2
tows,apr-jun,17,-130,2
tows,apr-jun,16,-130,1
tows,apr-jun,15,-130,1
tows,apr-jun,14,-130,1
tows,apr-jun,13,-130,2
tows,apr-jun,12,-130,0
tows,apr-jun,11,-130,1
tows,apr-jun,10,-130,2
tows,apr-jun,9,-130,2
tows,apr-jun,6,-130,2
tows,apr-jun,31,-131,1
tows,apr-jun,29,-131,2
tows,apr-jun,28,-131,2
tows,apr-jun,27,-131,2
tows,apr-jun,26,-131,2
tows,apr-jun,25,-131,2
tows,apr-jun,24,-131,2
tows,apr-jun,23,-131,2
tows,apr-jun,22,-131,2
tows,apr-jun,21,-131,1
tows,apr-jun,20,-131,2
tows,apr-jun,19,-131,2
tows,apr-jun,18,-131,1
tows,apr-jun,17,-131,2
tows,apr-jun,16,-131,2
tows,apr-jun,15,-131,2
tows,apr-jun,13,-131,0
tows,apr-jun,12,-131,1
tows,apr-jun,8,-131,2
tows,apr-jun,7,-131,1
tows,apr-jun,5,-131,2
tows,apr-jun,31,-132,1
tows,apr-jun,30,-132,1
tows,apr-jun,29,-132,1
tows,apr-jun,28,-132,2
tows,apr-jun,27,-132,2
tows,apr-jun,26,-132,2
tows,apr-jun,25,-132,2
tows,apr-jun,24,-132,2
tows,apr-jun,23,-132,2
tows,apr-jun,22,-132,2
tows,apr-jun,21,-132,2
tows,apr-jun,20,-132,1
tows,apr-jun,19,-132,1
tows,apr-jun,18,-132,1
tows,apr-jun,16,-132,1
tows,apr-jun,15,-132,0
tows,apr-jun,6,-132,2
tows,apr-jun,4,-132,2
tows,apr-jun,31,-133,1
tows,apr-jun,30,-133,1
tows,apr-jun,29,-133,1
tows,apr-jun,28,-133,1
tows,apr-jun,27,-133,2
tows,apr-jun,26,-133,1
tows,apr-jun,25,-133,2
tows,apr-jun,24,-133,2
tows,apr-jun,23,-133,1
tows,apr-jun,22,-133,0
tows,apr-jun,21,-133,1
tows,apr-jun,20,-133,1
tows,apr-jun,19,-133,0
tows,apr-jun,17,-133,1
tows,apr-jun,5,-133,2
tows,apr-jun,4,-133,1
tows,apr-jun,3,-133,2
tows,apr-jun,2,-133,1
tows,apr-jun,32,-134,0
tows,apr-jun,31,-134,1
tows,apr-jun,29,-134,2
tows,apr-jun,28,-134,1
tows,apr-jun,27,-134,3
tows,apr-jun,26,-134,2
tows,apr-jun,25,-134,2
tows,apr-jun,24,-134,1
tows,apr-jun,23,-134,2
tows,apr-jun,22,-134,1
tows,apr-jun,21,-134,2
tows,apr-jun,20,-134,2
tows,apr-jun,19,-134,2
tows,apr-jun,18,-134,1
tows,apr-jun,17,-134,1
tows,apr-jun,16,-134,1
tows,apr-jun,14,-134,1
tows,apr-jun,13,-134,1
tows,apr-jun,12,-134,2
tows,apr-jun,11,-134,1
tows,apr-jun,10,-134,1
tows,apr-jun,9,-134,1
tows,apr-jun,8,-134,2
tows,apr-jun,7,-134,1
tows,apr-jun,6,-134,1
tows,apr-jun,5,-134,1
tows,apr-jun,4,-134,1
tows,apr-jun,3,-134,1
tows,apr-jun,2,-134,1
tows,apr-jun,1,-134,2
tows,apr-jun,33,-135,1
tows,apr-jun,31,-135,1
tows,apr-jun,30,-135,1
tows,apr-jun,29,-135,1
tows,apr-jun,28,-135,1
tows,apr-jun,27,-135,1
tows,apr-jun,26,-135,1
tows,apr-jun,25,-135,1
tows,apr-jun,24,-135,1
tows,apr-jun,23,-135,1
tows,apr-jun,22,-135,1
tows,apr-jun,21,-135,1
tows,apr-jun,20,-135,1
tows,apr-jun,19,-135,1
tows,apr-jun,18,-135,1
tows,apr-jun,17,-135,2
tows,apr-jun,16,-135,1
tows,apr-jun,15,-135,1
tows,apr-jun,14,-135,2
tows,apr-jun,11,-135,1
tows,apr-jun,10,-135,1
tows,apr-jun,9,-135,1
tows,apr-jun,7,-135,1
tows,apr-jun,6,-135,1
tows,apr-jun,5,-135,1
tows,apr-jun,4,-135,1
tows,apr-jun,3,-135,1
tows,apr-jun,2,-135,2
tows,apr-jun,1,-135,1
tows,apr-jun,0,-135,1
tows,apr-jun,32,-136,1
tows,apr-jun,30,-136,1
tows,apr-jun,29,-136,1
tows,apr-jun,28,-136,1
tows,apr-jun,27,-136,1
tows,apr-jun,2,-136,1
tows,apr-jun,29,-137,1
tows,apr-jun,27,-137,1
tows,apr-jun,25,-137,0
tows,apr-jun,2,-137,1
tows,apr-jun,1,-137,1
tows,apr-jun,0,-137,1
tows,apr-jun,30,-138,0
tows,apr-jun,28,-138,1
tows,apr-jun,27,-138,1
tows,apr-jun,24,-138,0
tows,apr-jun,23,-138,0
tows,apr-jun,3,-138,2
tows,apr-jun,2,-138,1
tows,apr-jun,33,-139,0
tows,apr-jun,32,-139,0
tows,apr-jun,31,-139,0
tows,apr-jun,29,-139,1
tows,apr-jun,28,-139,1
tows,apr-jun,27,-139,1
tows,apr-jun,26,-139,1
tows,apr-jun,25,-139,0
tows,apr-jun,24,-139,0
tows,apr-jun,22,-139,1
tows,apr-jun,21,-139,1
tows,apr-jun,20,-139,0
tows,apr-jun,18,-139,1
tows,apr-jun,17,-139,1
tows,apr-jun,16,-139,0
tows,apr-jun,14,-139,0
tows,apr-jun,13,-139,1
tows,apr-jun,12,-139,1
tows,apr-jun,11,-139,1
tows,apr-jun,10,-139,1
tows,apr-jun,9,-139,2
tows,apr-jun,8,-139,1
tows,apr-jun,7,-139,1
tows,apr-jun,6,-139,1
tows,apr-jun,5,-139,1
tows,apr-jun,4,-139,1
tows,apr-jun,3,-139,0
tows,apr-jun,34,-140,0
tows,apr-jun,32,-140,0
tows,apr-jun,26,-140,0
tows,apr-jun,25,-140,1
tows,apr-jun,24,-140,1
tows,apr-jun,23,-140,1
tows,apr-jun,22,-140,1
tows,apr-jun,21,-140,1
tows,apr-jun,20,-140,0
tows,apr-jun,19,-140,1
tows,apr-jun,18,-140,0
tows,apr-jun,16,-140,0
tows,apr-jun,15,-140,1
tows,apr-jun,14,-140,1
tows,apr-jun,12,-140,0
tows,apr-jun,11,-140,1
tows,apr-jun,5,-140,0
tows,apr-jun,4,-140,0
tows,apr-jun,3,-140,0
tows,apr-jun,29,-141,0
tows,apr-jun,22,-141,1
tows,apr-jun,21,-141,1
tows,apr-jun,19,-141,0
tows,apr-jun,18,-141,0
tows,apr-jun,17,-141,1
tows,apr-jun,16,-141,0
tows,apr-jun,15,-141,0
tows,apr-jun,10,-141,0
tows,apr-jun,7,-141,0
tows,apr-jun,35,-142,1
tows,apr-jun,28,-142,0
tows,apr-jun,26,-142,0
tows,apr-jun,24,-142,1
tows,apr-jun,22,-142,0
tows,apr-jun,15,-142,0
tows,apr-jun,14,-142,0
tows,apr-jun,12,-142,0
tows,apr-jun,11,-142,0
tows,apr-jun,8,-142,0
tows,apr-jun,7,-142,1
tows,apr-jun,6,-142,2
tows,apr-jun,34,-143,1
tows,apr-jun,30,-143,1
tows,apr-jun,22,-143,0
tows,apr-jun,21,-143,0
tows,apr-jun,20,-143,0
tows,apr-jun,19,-143,0
tows,apr-jun,18,-143,0
tows,apr-jun,16,-143,0
tows,apr-jun,14,-143,0
tows,apr-jun,10,-143,1
tows,apr-jun,8,-143,0
tows,apr-jun,7,-143,1
tows,apr-jun,6,-143,1
tows,apr-jun,35,-144,0
tows,apr-jun,31,-144,1
tows,apr-jun,30,-144,1
tows,apr-jun,29,-144,1
tows,apr-jun,24,-144,1
tows,apr-jun,23,-144,0
tows,apr-jun,20,-144,0
tows,apr-jun,19,-144,0
tows,apr-jun,17,-144,0
tows,apr-jun,14,-144,0
tows,apr-jun,10,-144,1
tows,apr-jun,6,-144,1
tows,apr-jun,3,-144,0
tows,apr-jun,33,-145,0
tows,apr-jun,29,-145,1
tows,apr-jun,28,-145,1
tows,apr-jun,27,-145,1
